snailID,concentration,confct,time,status
G1,1,a,4,2
G1,1,a,4,2
G1,1,a,4,2
G1,1,a,24,2
G1,1,a,24,2
G1,1,a,24,2
G1,1,a,24,2
G1,1,a,24,2
G1,1,a,24,1
G1,1,a,24,1
G1,1,a,24,1
G1,1,a,24,1
G1,1,a,24,1
G1,1,a,24,1
G1,1,a,24,1
G1,1,a,24,1
G1,5,b,12,2
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,5,b,24,1
G1,10,c,12,2
G1,10,c,12,2
G1,10,c,24,2
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,10,c,24,1
G1,15,d,4,2
G1,15,d,4,2
G1,15,d,12,2
G1,15,d,24,2
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G1,15,d,24,1
G2,1,a,4,2
G2,1,a,4,2
G2,1,a,8,2
G2,1,a,8,2
G2,1,a,8,2
G2,1,a,8,2
G2,1,a,8,2
G2,1,a,12,2
G2,1,a,12,2
G2,1,a,12,2
G2,1,a,12,2
G2,1,a,12,2
G2,1,a,12,2
G2,1,a,24,2
G2,1,a,24,2
G2,1,a,24,2
G2,1,a,24,1
G2,5,b,8,2
G2,5,b,8,2
G2,5,b,8,2
G2,5,b,8,2
G2,5,b,8,2
G2,5,b,8,2
G2,5,b,8,2
G2,5,b,8,2
G2,5,b,8,2
G2,5,b,8,2
G2,5,b,8,2
G2,5,b,12,2
G2,5,b,12,2
G2,5,b,12,2
G2,5,b,12,2
G2,5,b,24,2
G2,5,b,24,2
G2,5,b,24,2
G2,5,b,24,1
G2,5,b,24,1
G2,10,c,4,2
G2,10,c,8,2
G2,10,c,8,2
G2,10,c,8,2
G2,10,c,8,2
G2,10,c,8,2
G2,10,c,8,2
G2,10,c,8,2
G2,10,c,8,2
G2,10,c,12,2
G2,10,c,12,2
G2,10,c,24,2
G2,10,c,24,2
G2,10,c,24,2
G2,10,c,24,2
G2,10,c,24,2
G2,10,c,24,2
G2,10,c,24,2
G2,10,c,24,1
G2,15,d,8,2
G2,15,d,8,2
G2,15,d,12,2
G2,15,d,12,2
G2,15,d,12,2
G2,15,d,12,2
G2,15,d,12,2
G2,15,d,24,2
G2,15,d,24,2
G2,15,d,24,2
G2,15,d,24,2
G2,15,d,24,2
G2,15,d,24,2
G7,1,a,4,2
G7,1,a,8,2
G7,1,a,8,2
G7,1,a,8,2
G7,1,a,8,2
G7,1,a,8,2
G7,1,a,24,2
G7,1,a,24,2
G7,1,a,24,2
G7,1,a,24,1
G7,1,a,24,1
G7,5,b,4,2
G7,5,b,4,2
