group,gfct,ID,week,eggs,infection,fact
green,a,G1,1,7,1,in
green,a,G2,1,0,1,in
green,a,G3,1,7,1,in
green,a,G4,1,0,0,un
green,a,G5,1,2,0,un
green,a,G6,1,8,0,un
green,a,G7,1,4,1,in
green,a,G8,1,4,1,in
green,a,G9,1,2,1,in
green,a,G10,1,3,1,in
green,a,G11,1,3,1,in
green,a,G12,1,8,1,in
green,a,G13,1,8,1,in
green,a,G14,1,6,1,in
green,a,G15,1,0,NA,NA
green,a,G16,1,0,0,un
green,a,G17,1,4,1,in
green,a,G18,1,6,1,in
green,a,G19,1,0,1,in
green,a,G20,1,6,1,in
green,a,G21,1,2,1,in
green,a,G22,1,7,1,in
green,a,G23,1,7,1,in
green,a,G24,1,1,NA,NA
green,a,G25,1,6,1,in
green,a,G26,1,5,1,in
green,a,G27,1,7,1,in
green,a,G28,1,5,1,in
green,a,G29,1,9,0,un
green,a,G30,1,6,1,in
green,a,G31,1,5,0,un
green,a,G32,1,7,1,in
green,a,G33,1,8,0,un
green,a,G34,1,6,1,in
green,a,G35,1,4,0,un
green,a,G36,1,3,0,un
green,a,G37,1,7,1,in
green,a,G38,1,7,1,in
green,a,G39,1,0,0,un
green,a,G40,1,8,1,in
green,a,G41,1,0,1,in
green,a,G42,1,11,0,un
green,a,G43,1,8,1,in
green,a,G44,1,0,1,in
green,a,G45,1,5,1,in
green,a,G46,1,6,1,in
green,a,G47,1,8,0,un
green,a,G48,1,3,1,in
green,a,G49,1,8,0,un
green,a,G50,1,4,1,in
green,a,G51,1,7,0,un
green,a,G52,1,8,1,in
green,a,G53,1,1,0,un
green,a,G54,1,8,1,in
green,a,G55,1,2,0,in
green,a,G56,1,4,1,in
green,a,G57,1,0,0,un
green,a,G58,1,5,1,in
green,a,G59,1,3,0,un
green,a,G60,1,5,1,in
green,a,G1,2,4,1,in
green,a,G2,2,0,1,in
green,a,G3,2,5,1,in
green,a,G4,2,0,0,un
green,a,G5,2,6,0,un
green,a,G6,2,3,0,un
green,a,G7,2,3,1,in
green,a,G8,2,3,1,in
green,a,G9,2,4,1,in
green,a,G10,2,7,1,in
green,a,G11,2,2,1,in
green,a,G12,2,11,1,in
green,a,G13,2,7,1,in
green,a,G14,2,7,1,in
green,a,G15,2,0,NA,NA
green,a,G16,2,0,0,un
green,a,G17,2,4,1,in
green,a,G18,2,6,1,in
green,a,G19,2,4,1,in
green,a,G20,2,4,1,in
green,a,G21,2,5,1,in
green,a,G22,2,5,1,in
green,a,G23,2,2,1,in
green,a,G24,2,0,NA,NA
green,a,G25,2,5,1,in
green,a,G26,2,4,1,in
green,a,G27,2,4,1,in
green,a,G28,2,5,1,in
green,a,G29,2,5,0,un
green,a,G30,2,6,1,in
